class,word,count,p_hat,log_odds,z
Oaxaca,tortugas,12,0.019169329073482427,4.407716357344302,13.127124986760283
Oaxaca,especies,5,0.007987220447284345,6.354334533182611,7.594959071227723
Oaxaca,jugos,3,0.004792332268370607,4.453992938859569,6.579053215044432
Oaxaca,filete,3,0.004792332268370607,4.04851006202364,6.272017575839001
Oaxaca,chef,4,0.006389776357827476,3.03833946187513,5.8182016647516415
Oaxaca,cocteles,2,0.003194888178913738,5.027780538245226,5.507699155836886
Oaxaca,tortuga,2,0.003194888178913738,4.74009612631842,5.473439165327224
Oaxaca,propinas,2,0.003194888178913738,4.516949771492825,5.398842075772332
Oaxaca,cocodrilos,2,0.003194888178913738,4.334625179138549,5.308871536719125
Oaxaca,invertir,2,0.003194888178913738,4.1804713311253465,5.214032498880204
Oaxaca,objetivo,2,0.003194888178913738,4.1804713311253465,5.214032498880204
Oaxaca,encantadores,2,0.003194888178913738,4.1804713311253465,5.214032498880204
Oaxaca,50%,2,0.003194888178913738,4.0469366874009545,5.119090697789767
Oaxaca,mantenimiento,4,0.006389776357827476,2.573897795654883,5.007039134151738
Oaxaca,fondant,2,0.003194888178913738,6.126390546088439,5.002220451230084
Oaxaca,conservación,2,0.003194888178913738,3.8237864845687017,4.936576450579203
Oaxaca,venía,2,0.003194888178913738,3.4873006459087623,4.613379793925327
Oaxaca,pastas,2,0.003194888178913738,3.3537623773312424,4.471809599027823
Oaxaca,atardecer,2,0.003194888178913738,3.2931343064809875,4.405397738714101
Oaxaca,dueños,2,0.003194888178913738,3.1306049988114726,4.221455280281709
