class,word,count,p_hat,log_odds,z
Veracruz,café,20,0.00999000999000999,2.0705480452603204,8.784869894320499
Veracruz,teleférico,5,0.0024975024975024975,4.77224254089988,6.534713766917008
Veracruz,veracruz,4,0.001998001998001998,4.54860197465811,5.955561134180984
Veracruz,palacio,4,0.001998001998001998,4.954067757833185,5.72051447287199
Veracruz,hierro,3,0.0014985014985014985,4.260423833499047,5.217968555238615
Veracruz,inicialmente,3,0.0014985014985014985,3.7495915237645034,5.134380145322392
Veracruz,avisan,3,0.0014985014985014985,4.6658901966305955,5.111265159990266
Veracruz,museos,3,0.0014985014985014985,4.6658901966305955,5.111265159990266
Veracruz,bote,3,0.0014985014985014985,3.413111010183737,4.946115289039288
Veracruz,valet,3,0.0014985014985014985,3.413111010183737,4.946115289039288
Veracruz,río,4,0.001998001998001998,2.6513995178007246,4.840858676725248
Veracruz,asignaron,3,0.0014985014985014985,3.161787774464508,4.742736674096111
Veracruz,parking,3,0.0014985014985014985,3.0564227555812415,4.643098174191751
Veracruz,postres,4,0.001998001998001998,2.469056929704026,4.571903171441077
Veracruz,obvio,3,0.0014985014985014985,2.961108030316595,4.546248362268911
Veracruz,cuentan,5,0.0024975024975024975,2.0639652827473105,4.378470356395409
Veracruz,pague,3,0.0014985014985014985,2.7940447669631903,4.362270275817412
Veracruz,puebla,3,0.0014985014985014985,2.719932174094396,4.275290553378049
Veracruz,sabana,2,0.000999000999000999,4.259931009723293,4.25996065753506
Veracruz,recordando,2,0.000999000999000999,3.8544646465900065,4.222386303208897
