class,word,count,p_hat,log_odds,z
Attractive,ruinas,326,0.0077956860682002966,3.250676625945796,17.295986723374018
Attractive,playa,511,0.012219618346166722,1.0010462836376188,15.58421663051551
Attractive,entrada,214,0.005117413553971974,1.8538836941123016,14.274304768165075
Attractive,cenote,228,0.005452197618250514,3.616827109907412,13.569402820203194
Attractive,agua,349,0.008345688459515041,0.912666251815959,12.003882645419417
Attractive,pena,236,0.005643502797838251,1.1875910824188294,11.924325121578825
Attractive,historia,132,0.0031565354631976662,2.8316077860257876,11.540353360330927
Attractive,visita,173,0.00413697450858482,1.4120061690630683,11.345591826506464
Attractive,guía,177,0.004232627098378689,3.873259076515983,11.335945768827457
Attractive,gente,211,0.0050456741116265726,1.0864661863079386,10.609740955360177
Attractive,nadar,104,0.0024869673346405853,2.2410712235175625,10.375876083963131
Attractive,fotos,113,0.00270218566167679,1.7913035409252895,10.242196118047026
Attractive,puedes,168,0.004017408771342484,1.1968027982759395,10.108804944925057
Attractive,vale,173,0.00413697450858482,1.163651958650016,10.068999890542383
Attractive,visitar,145,0.0034674063800277394,1.2948549720315254,9.871578060848346
Attractive,paseo,92,0.0022000095652589795,2.4183490993937564,9.802259008485736
Attractive,sitio,136,0.003252188052991535,1.3394606111131138,9.756856671180339
Attractive,pesos,168,0.004017408771342484,1.0969770915306425,9.529402009819902
Attractive,caminar,92,0.0022000095652589795,1.9174597570376362,9.449892983354038
Attractive,excursión,87,0.0020804438280166435,2.7190710472075263,9.442633796799383
