class,word,count,p_hat,log_odds,z
1.0,pésimo,59,0.0023651086346508456,2.272528679461039,10.020672277640822
1.0,mala,109,0.004369437986049868,1.2574458493165297,9.962538246933054
1.0,pésima,38,0.0015232903070632566,2.2033745109264533,7.975993425018674
1.0,gerente,40,0.0016034634811192174,1.9182129678345081,7.784927896032528
1.0,reserva,52,0.0020845025254549827,1.4525744966425682,7.606078116769186
1.0,horrible,46,0.0018439830032871002,1.5401180539309056,7.425802693284589
1.0,dinero,60,0.002405195221678826,1.2495211648241034,7.355042171207127
1.0,habitación,242,0.009700954060771266,0.5266136847393943,7.039537224869441
1.0,pedimos,86,0.003447446484406318,0.8235121621159811,6.2822984230220005
1.0,grosero,25,0.001002164675699511,1.946690666005428,6.192557052668746
1.0,toallas,39,0.001563376894091237,1.29304897655072,6.078749455506293
1.0,sucio,32,0.001282770784895374,1.4715520728147702,6.016588087158245
1.0,hotel,383,0.015353162831716508,0.34881530581520614,5.9954849539763195
1.0,tenían,55,0.002204762286538924,1.015045264668304,5.99082195459656
1.0,mesa,71,0.002846147678986611,0.8546881527046697,5.893898936973277
1.0,clientes,32,0.001282770784895374,1.3633063138016048,5.715768704648256
1.0,recepción,78,0.003126753788182474,0.7537662724694325,5.536646938383861
1.0,pagar,56,0.0022448488735669044,0.8955169290869831,5.446817305884968
1.0,terrible,30,0.001202597610839413,1.324671982763915,5.423871946865861
1.0,llegamos,80,0.003206926962238435,0.7235108824309933,5.407009552536518
