epoch,train_ppl,val_ppl
1,645.557132309347,612.3354650258653
2,614.1114967568116,609.4503284924918
3,610.6746795141313,607.5492310320288
4,269.4521859397297,137.58028956132506
5,101.9826444713966,69.06167943473922
6,58.61588061932271,41.79145227948307
7,37.5648728213038,27.303672079348456
8,25.60320365283324,18.929649660420107
9,18.574829111134516,14.186626810415461
10,14.24691131907137,10.892304850609309
11,11.300276489310194,8.792759720242639
12,9.23522770987373,7.304866027243771
13,7.716147283390469,6.212672570987685
14,6.579839957955735,5.327658899733457
15,5.70153465443932,4.717251449093465
16,5.02032240555957,4.1751669480163285
17,4.471873630191356,3.7613012344455954
18,4.0238124405119855,3.426336235006425
19,3.6626871334065565,3.152182899339642
20,3.3700034691152805,2.923082716368586
21,3.117259180458659,2.7535345357703673
22,2.909143065100831,2.5714099516190565
23,2.7308497435446877,2.4443860666732244
24,2.579795553254226,2.3350776507200854
25,2.453893135269074,2.2420420314123275
