class,word,count,p_hat,log_odds,z
Queretaro,peña,9,0.0025055679287305124,5.169860362501679,6.613416269405764
Queretaro,pan,14,0.0038975501113585748,1.8283580512018496,6.354424971444579
Queretaro,servicio,67,0.018652561247216037,0.7279171680858285,5.807891616063375
Queretaro,pidan,4,0.0011135857461024498,3.6644043378648137,5.1822863794981275
Queretaro,gorditas,4,0.0011135857461024498,4.357555351770016,5.031715284218069
Queretaro,alimentos,14,0.0038975501113585748,1.287996841638277,4.61043344584283
Queretaro,regular,10,0.0027839643652561247,1.5373323709776097,4.595749647024954
Queretaro,creen,3,0.0008351893095768374,3.3764477329623555,4.420839854103862
Queretaro,centro,17,0.004732739420935412,1.083659247362351,4.308448375679779
Queretaro,desayunar,8,0.0022271714922048997,1.6014590830332347,4.266915415032147
Queretaro,dueño,7,0.0019487750556792874,1.698848130875656,4.20980672126359
Queretaro,sopes,3,0.0008351893095768374,4.762740884465076,4.124702441227802
Queretaro,bufete,4,0.0011135857461024498,2.278050434291006,4.07516076941749
Queretaro,mala,17,0.004732739420935412,1.019019678111337,4.060387968031345
Queretaro,pizzas,6,0.0016703786191536749,1.7429316131663253,3.987581015689426
Queretaro,sofá,3,0.0008351893095768374,2.683283895568417,3.9635149364508098
Queretaro,adentro,4,0.0011135857461024498,2.160256797505454,3.9081158088140224
Queretaro,atención,23,0.006403118040089087,0.8287355699768009,3.863273164627891
Queretaro,cabe,4,0.0011135857461024498,2.1061842603272067,3.828659441528998
Queretaro,plaza,10,0.0027839643652561247,1.2494700372532028,3.785924968115857
