class,word,count,p_hat,log_odds,z
Baja_CaliforniaSur,the,18,0.0027198549410698096,2.162120356071407,7.70175450579511
Baja_CaliforniaSur,pescado,28,0.0042308854638863705,1.621224832365117,7.6932481174953775
Baja_CaliforniaSur,misión,12,0.001813236627379873,3.3199525345832246,7.528999243313886
Baja_CaliforniaSur,margaritas,13,0.001964339679661529,2.265043876954362,6.748998621899976
Baja_CaliforniaSur,to,11,0.001662133575098217,2.434214752841994,6.484745891027505
Baja_CaliforniaSur,santos,30,0.004533091568449683,6.436049846269296,6.332053320331133
Baja_CaliforniaSur,malecón,9,0.0013599274705349048,2.8311380841171543,6.2989293167721545
Baja_CaliforniaSur,loreto,28,0.0042308854638863705,6.366767415722472,6.25664288547233
Baja_CaliforniaSur,california,10,0.0015110305228165609,4.641427428033732,5.9921654702140446
Baja_CaliforniaSur,marisco,7,0.0010577213659715926,2.7802071367354966,5.516842121922273
Baja_CaliforniaSur,tapas,6,0.0009066183136899365,3.7245473115007037,5.2673511450554615
Baja_CaliforniaSur,margarita,10,0.0015110305228165609,1.9004285678342008,5.225714046143836
Baja_CaliforniaSur,platos,19,0.0028709579933514657,1.2234438219036656,4.943475852863206
Baja_CaliforniaSur,cerveza,14,0.0021154427319431852,1.4371231859964926,4.902880048494664
Baja_CaliforniaSur,deliciosos,10,0.0015110305228165609,1.7234586203795699,4.835693806628343
Baja_CaliforniaSur,correo,6,0.0009066183136899365,2.425225369333682,4.778627792692753
Baja_CaliforniaSur,with,5,0.0007555152614082804,2.848918473729107,4.704867303993266
Baja_CaliforniaSur,pescadores,5,0.0007555152614082804,2.6947627193039185,4.60221734514624
Baja_CaliforniaSur,cabo,5,0.0007555152614082804,2.6947627193039185,4.60221734514624
Baja_CaliforniaSur,electrónico,5,0.0007555152614082804,2.6947627193039185,4.60221734514624
