epoch,train_ppl,val_ppl
1,749.6117533554348,602.8518085790055
2,605.2155038476159,601.6514248810269
3,603.8725767347216,600.8051561377498
4,604.1242713648269,600.0292657212191
5,603.7981619724309,599.400094740865
6,602.0524587360903,597.2599856732722
7,537.0206354877514,429.99453079651386
8,360.24430410854234,285.5374752356661
9,255.36127567539577,207.0076286365627
10,192.8249360923335,157.72017311487534
11,152.1232505833327,125.83441271284677
12,124.98797186567997,104.72416219258993
13,105.34694207345471,88.24400102095231
14,90.06795744982345,75.76592933223654
15,77.75702086120077,65.32284835492507
16,67.70243294855095,56.88316589973807
17,59.23556591866334,49.99824945808026
18,52.02434282435252,43.71520497792713
19,45.84398146479786,38.16787967881828
20,40.52914434961982,33.907946997775994
21,35.98828381600709,29.857344201812097
22,32.12199400517016,26.585833529311376
23,28.65597559805924,23.74107705975306
24,25.6722055859775,21.144949728460677
25,23.053306637704647,18.970559569871103
26,20.716708145754836,16.967423003707292
27,18.698572946087637,15.501318070242199
28,16.91112270323023,13.903366962549565
29,15.34107115778335,12.548146004570137
30,13.951899534023825,11.435165009953696
31,12.73234326610888,10.542667066387592
32,11.625115699250562,9.57926096784343
33,10.650398785180396,8.755858928604477
34,9.771860214902752,8.026788601533383
35,9.001127849086766,7.419168561802408
36,8.29819721798979,6.902408947454004
37,7.68443121069917,6.357097689194113
38,7.121166280391157,5.891280101786225
39,6.63659319586283,5.530868334055883
40,6.187361612620726,5.159355159876478
