class,word,count,p_hat,log_odds,z
Hotel,hotel,1560,0.0273109243697479,3.049499850782737,31.561166133582294
Hotel,habitación,908,0.015896358543417366,4.409210672322671,18.015159085329184
Hotel,personal,538,0.0094187675070028,1.2089410036212715,15.685646150127024
Hotel,habitaciones,601,0.01052170868347339,4.426493575352334,14.551249528021689
Hotel,noche,351,0.006144957983193277,1.3465780320756489,13.436892980535692
Hotel,piscina,215,0.0037640056022408964,2.388539924108377,12.255763207105373
Hotel,baño,228,0.003991596638655462,1.6739080465831808,11.90495122888897
Hotel,desayuno,298,0.005217086834733893,1.153538810870062,11.339474835345822
Hotel,ubicación,210,0.003676470588235294,1.3588324086278796,10.435073314189692
Hotel,estancia,152,0.002661064425770308,2.183832413397514,10.290272318985132
Hotel,recepción,247,0.004324229691876751,4.137330549403279,10.014892756971488
Hotel,aire,158,0.002766106442577031,1.5886818944774808,9.715914818382918
Hotel,noches,115,0.0020133053221288513,2.4543952405940503,8.940857166362179
Hotel,alberca,142,0.0024859943977591035,3.582046673478202,8.59520041722914
Hotel,acondicionado,129,0.002258403361344538,3.3316781924712036,8.585496153134343
Hotel,alojamos,105,0.001838235294117647,2.2380723958460056,8.560968605683811
Hotel,instalaciones,123,0.0021533613445378153,1.5407029806242436,8.464724164020241
Hotel,camas,134,0.00234593837535014,3.523928318372154,8.44549071948783
Hotel,ruido,106,0.0018557422969187674,2.7782465516749015,8.39867708101285
Hotel,complejo,99,0.0017331932773109243,2.179129192031848,8.30051621479695
